PersonID,Name,EmploymentHistory,Gender,Generation,Age,Multiple Doctoral Degrees,Multiple Master's Degrees,Multiple Bachelor's Degrees,Doctorate Area of Study,Pathway,Years in Presidency,Provost or Dean,Sector,Size Category,Research Expenses Per FTE,Endowment Value Per FTE,Carnegie Classification,Land Grant,president
312,"McNulty, Paul J. ",Y,Male,Baby Boomers,50-59,Yes,No,Yes,Law,Traveler,0-3,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
313,"Fernandes, Jane K. ",Y,Female,Baby Boomers,60-69,Yes,No,Yes,Arts/Humanities,Traveler,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
314,"Holdnak, John  R.",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Not available,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Baccalaureate/Associate's Colleges: Associate's Dominant,Not a Land Grant Institution,University Presidents
315,"Bergman,Rebecca M. ",Y,Female,Baby Boomers,60-69,Yes,No,Yes,Not available,Traveler,0-3,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
316,"Owens, Kathleen ",Y,Female,Not available,Not available,Yes,Yes,Yes,Not available,Traditionalist,11-15,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
317,"Wippman, David ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Law,Traveler,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
318,"Miller, Fayneese ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traditionalist,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
319,"Stimpert, John Lawrence ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
320," Lash, Jonathan",Y,Male,Baby Boomers,50-59,No,Yes,Yes,Not available,Traveler,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
321,"Harvey, William R. ",Y,Male,Silent Generation,70-79,Yes,Yes,Yes,Other Applied,Traveler,15+,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
