PersonID,Name,EmploymentHistory,Gender,Generation,Age,Multiple Doctoral Degrees,Multiple Master's Degrees,Multiple Bachelor's Degrees,Doctorate Area of Study,Pathway,Years in Presidency,Provost or Dean,Sector,Size Category,Research Expenses Per FTE,Endowment Value Per FTE,Carnegie Classification,Land Grant,president
393,"Paydar, Nasser H. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,0-3,Provost,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
394," Allison, Terry",Y,Male,Not available,Not available,Yes,Yes,Yes,Arts/Humanities,Traveler,4-6,Provost,"Public, 4-year or above","5,000 - 9,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
395,"Wallace, Ray ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Arts/Humanities,Traditionalist,Not available,Not available,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
396,"Wright, David ",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Arts/Humanities,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","10,000 - 19,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
400," Lenczowski, John",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traveler,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Special Focus Four-Year: Other Special Focus Institutions,Not a Land Grant Institution,University Presidents
402," O'Brien, Gregory",Y,Male,Silent Generation,70-79,Yes,No,Yes,Social Science,Outsider,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$0K - $.1K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
403,"Nyre,  Joseph E ",Y,Male,Not available,Not available,Yes,Yes,Yes,Medical,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
406,"Rochon, Thomas ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traveler,7-10,Provost,"Private not-for-profit, 4-year or above","5,000 - 9,999",$.1K - $1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
407," Meyers, Carolyn",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,4-6,Provost,"Public, 4-year or above","5,000 - 9,999",$1K - $10K,$1K - $10K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
408," Beehler, John M.",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Provost,"Public, 4-year or above","5,000 - 9,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
409," Cost, Timothy",Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traveler,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
410," Alger, Jonathan R.",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Law,Traveler,4-6,Not available,"Public, 4-year or above","20,000 and above",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
412," Bishop, Nathaniel L.",Y,Male,Not available,Not available,Yes,Yes,Yes,Religion,Traveler,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
414,"Pollard, Debra Bean  ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Arts/Humanities,Traveler,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
415,"Niehoff, Robert L. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
416,"Bean, Debra ",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
419,"Carter, Ronald L. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Religion,Traditionalist,7-10,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
420,"Collins, Elaine C. ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Provost,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$0K - $.1K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
421,"Weedman, Gary E. ",Y,Male,Silent Generation,70-79,Yes,Yes,Yes,Not available,Traveler,7-10,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$100K+,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
422,"Potts, David E ",Y,Male,Not available,Not available,Yes,Yes,Yes,Not available,Traditionalist,0-3,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
425,"Troha, James A. ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
426,"Gonzalez, Jorge G. ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Social Science,Traditionalist,0-3,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
428," Myers, Richard",Y,Male,Not available,Not available,Yes,Yes,No,Other Applied,Traveler,0-3,Not available,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
429," Farahi, Dawood Y.",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,11-15,Not available,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
430,"Huot, Anne E. ",Y,Female,Not available,Not available,Yes,Yes,Yes,Science/Math,Traditionalist,4-6,Provost,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
431,"Keiser, Arthur ",Y,Male,Not available,Not available,Yes,No,Yes,Other Applied,Traditionalist,15+,Not available,"Private not-for-profit, 4-year or above","10,000 - 19,999",$0K - $.1K,$0K - $.1K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
432,"Davis, Houston ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Provost,"Public, 4-year or above",Not available,$0K - $.1K,$0K - $.1K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
433,"Warren, Beverly J. ",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Provost,"Public, 4-year or above","20,000 and above",$.1K - $1K,$1K - $10K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
437,"Decatur, Sean M. ",Y,Male,Generation X,40-49,Yes,No,Yes,Science/Math,Traditionalist,4-6,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
438,"Brandstater, Nate ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,0-3,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
439,"McMahan, Robert K.   Jr.",Y,Male,Baby Boomers,50-59,Yes,No,Yes,Science/Math,Traveler,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
440," Coppola, David L.",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
442,"Amott, Teresa L. ",Y,Female,Baby Boomers,60-69,Yes,No,Yes,Social Science,Traditionalist,4-6,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
444," Hawkinson,  Kenneth S.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,0-3,Provost,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
449," Byerly, Alison R.",Y,Female,Baby Boomers,50-59,Yes,No,Yes,Arts/Humanities,Traditionalist,4-6,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
450,"McAlexander, Dan ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Arts/Humanities,Traditionalist,7-10,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
451," Burke, Jonathan",Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traditionalist,4-6,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,"Special Focus Four-Year: Arts, Music & Design Schools",Not a Land Grant Institution,University Presidents
452,"Posler, Brian ",Y,Male,Generation X,40-49,Yes,No,Yes,Social Science,Traveler,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
453,"Schutt, Stephen D. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Law,Traveler,15+,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
455,"Pleger, Thomas ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Social Science,Traditionalist,0-3,Dean,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
456,"Goings, Amy Morrison ",Y,Female,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traveler,4-6,Not available,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$.1K - $1K,Baccalaureate/Associate's Colleges: Associate's Dominant,Not a Land Grant Institution,University Presidents
457,"Sidor, Stanley M. ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traveler,4-6,Not available,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Baccalaureate/Associate's Colleges: Associate's Dominant,Not a Land Grant Institution,University Presidents
459,"Evans, Kenneth ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,4-6,Dean,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
462," Cosentino, Richard ",Y,Male,Not available,Not available,Yes,Yes,Yes,Science/Math,Traditionalist,0-3,Not available,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
463," Eden, Peter",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Science/Math,Traditionalist,4-6,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Baccalaureate/Associate's Colleges: Associate's Dominant,Not a Land Grant Institution,University Presidents
464,"Hampton, Logan C. ",Y,Male,Not available,Not available,No,No,No,Not available,Traveler,0-3,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
465,"Smith, Kent J. ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traditionalist,4-6,Not available,"Public, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Land Grant Institution,University Presidents
468," Burstein, Mark",Y,Male,Baby Boomers,50-59,No,Yes,Yes,Not available,Traveler,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
471,"Thayne, Lewis Evitts ",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Arts/Humanities,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
472,"Conn, Charles Paul ",Y,Male,Not available,Not available,Yes,Yes,Yes,Social Science,Traditionalist,15+,Not available,"Private not-for-profit, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
473,"Buxton, Barry M. ",Y,Male,Not available,Not available,Yes,No,No,Not available,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
476,"Weiss, Jeff A. ",Y,Male,Baby Boomers,50-59,Yes,No,Yes,Law,Traveler,0-3,Not available,"Private not-for-profit, 4-year or above","5,000 - 9,999",$0K - $.1K,$0K - $.1K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
478," Glassner, Barry",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,7-10,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
479,"Livingston, David J. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Religion,Traditionalist,0-3,Not available,"Private not-for-profit, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
480," Fernandez, J. Anthony",Y,Male,Not available,Not available,Yes,No,Yes,Not available,Traditionalist,4-6,Provost,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
484,"Adams, Jim J. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,Not available,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
485," Riekeman, Guy",Y,Male,Not available,Not available,Yes,No,No,Medical,Traveler,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$0K - $.1K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
486," Griffin, Walt",Y,Male,Not available,Not available,Yes,Yes,No,Not available,Traditionalist,15+,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
488,"Gerlach, David ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Arts/Humanities,Traditionalist,0-3,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Not a Land Grant Institution,University Presidents
489,"Dawson, B. James ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
490," Green, Richard",Y,Male,Not available,Not available,Yes,Yes,Yes,Science/Math,Traditionalist,0-3,Provost,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
491,"Rome, Kevin D. ",Y,Male,Generation X,50-59,Yes,Yes,Yes,Other Applied,Traditionalist,4-6,Not available,"Public, 4-year or above","1,000 - 4,999",$1K - $10K,$1K - $10K,Master's Colleges & Universities: Small Programs,Land Grant Institution,University Presidents
492,"Shonrock, Michael ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Arts/Humanities,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","10,000 - 19,999",$0K - $.1K,$10K - $100K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
493," Luckey , William T. Jr.",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
494,"Hellie, Thomas L. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Arts/Humanities,Traveler,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
497," Lowry, L. Randolph III",Y,Male,Not available,Not available,Yes,Yes,Yes,Law,Traditionalist,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
503,"Cline, Kimberly R. ",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Not available,Not available,Not available,$0K - $.1K,$0K - $.1K,Not available,Not a Land Grant Institution,University Presidents
505,"Fiorentino, Michael ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,4-6,Provost,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
506," McDonald, Clay",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Law,Traveler,4-6,Provost,"Private not-for-profit, 4-year or above","Under 1,000",$.1K - $1K,$10K - $100K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
508,"Reveley, W. Taylor  IV",Y,Male,Not available,Not available,Yes,Yes,Yes,Law,Traditionalist,4-6,Not available,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
509,"Zorn, Karen ",Y,Female,Baby Boomers,50-59,No,Yes,Yes,Not available,Traveler,7-10,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,"Special Focus Four-Year: Arts, Music & Design Schools",Not a Land Grant Institution,University Presidents
510,"Collins, James E. ",Y,Male,Baby Boomers,50-59,No,Yes,Yes,Not available,Traditionalist,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
512,"Schubert, Phil",Y,Male,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traveler,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
513,"Bridges, David C. ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traveler,11-15,Not available,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Not a Land Grant Institution,University Presidents
514,"Frankiel, Tamar ",Y,Female,Silent Generation,70-79,Yes,Yes,Yes,Religion,Traveler,Not available,Provost,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
515,"Nieters, John ",Y,Male,Not available,Not available,No,No,No,Not available,Traveler,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
516,"McDowell, Kevin James ",Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Not available,Not a Land Grant Institution,University Presidents
517,"McClure, Beverlee J.",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,0-3,Provost,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$0K - $.1K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
519,"Haugen, Daniel ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
520,"Crossman, Raymond ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Medical,Traditionalist,11-15,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
521,"Docking, Jeffrey R ",Y,Male,Not available,Not available,Yes,Yes,Yes,Social Science,Traditionalist,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
522,David E Greenlaw,Y,Male,Not available,Not available,Yes,Yes,No,Medical,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
523,"Kiss, Elizabeth",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Arts/Humanities,Traditionalist,11-15,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
525,"Hugine, Andrew Jr.",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,7-10,Not available,"Public, 4-year or above","5,000 - 9,999",$1K - $10K,$0K - $.1K,Master's Colleges & Universities: Larger Programs,Land Grant Institution,University Presidents
527,"Boyd, Gwen ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Religion,Traveler,0-3,Not available,"Public, 4-year or above","5,000 - 9,999",$.1K - $1K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
528,"Ley, David ",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,0-3,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
529,"Bantz, Don ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,7-10,Provost,"Private not-for-profit, 4-year or above","Under 1,000",$1K - $10K,$100K+,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
530,"Dewey, Greg",Y,Male,Not available,Not available,Yes,Yes,Yes,Science/Math,Traditionalist,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
532,"Ditzler, Mauri A. ",Y,Male,Not available,Not available,Yes,No,Yes,Science/Math,Traditionalist,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
533,"McMillan, Lex III",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Arts/Humanities,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
534,"Rankins, Alfred Jr. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,0-3,Not available,"Public, 4-year or above","1,000 - 4,999",$1K - $10K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Land Grant Institution,University Presidents
535,"Creehan, Richard A.",Y,Not available,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
537,"Stepp, Joe Alan ",Y,Male,Baby Boomers,60-69,No,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
538,"Mullen, James H. Jr.",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Law,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
541,"Abernathy, Jeff ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Arts/Humanities,Traditionalist,7-10,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
559,"Luxton, Andrea",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Arts/Humanities,Traveler,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
560,"May, Brian J. ",Y,Male,Not available,Not available,No,No,No,Not available,Traveler,Not available,Provost,"Public, 4-year or above","5,000 - 9,999",$.1K - $1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
570,"Everts, Sheri N. ",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Provost,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
578,"Bowen, Robin E ",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Provost,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
